name,mask,constraint,result
Date,False,There must be at least two hyphens and the part after the first hyphen but before the second hyphen shall not be a number between 1 and 12.,"(and (>= (str.count s ""-"") 2) (not (and (str.contains s ""-"") (<= (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 1))) 1) 12))))"
Date,False,There must be at least two hyphens an d the part after the second hyphen shall not be a number between 1 and 31.,"(and (>= (str.count s ""-"") 2) (not (and (str.contains s ""-"") (<= (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1)) (str.length s))) 31))))"
DNA,True,"The DNA sequence shall only contain letters A, T, C and G.","(assert (forall ((s String)) (and (str.contains s ""A"") (str.contains s ""T"") (str.contains s ""C"") (str.contains s ""G""))))"
DNA,True,The length of The DNA sequence shall be at least 10.,(assert (>= (str.len s) 10))
DNA,True,The length of The DNA sequence shall be a multiple of three.,(assert (= (mod (str.len s) 3) 0))
DNA,True,The DNA sequence shall start with ATG.,"(assert (= (str.substr s 0 3) ""ATG""))"
DNA,True,"The DNA sequence shall end with either TAA, or TAG, or TGA.","(assert (or (= (str.substr s (- (str.len s) 3) 3) ""TAA"") (= (str.substr s (- (str.len s) 3) 3) ""TAG"") (= (str.substr s (- (str.len s) 3) 3) ""TGA"")))"
DNA,False,"The DNA sequence shall contain at least one letter that is neither A, nor T, nor C, nor G.","(exists ((c String)) (and (not (= c ""A"")) (not (= c ""T"")) (not (= c ""C"")) (not (= c ""G"")) (str.contains s c)))"
DNA,False,The length of the DNA sequence shall be at most 9.,(<= (str.len s) 9)
DNA,False,The length of the DNA sequence shall not a multiple of three.,(not (= (mod (str.len s) 3) 0))
DNA,False,The DNA sequence shall not start with ATG.,"(not (str.startsWith s ""ATG""))"
DNA,False,"The DNA sequence shall not end with TAA, nor with TAG, nor with TGA.","(not (or (str.endsWith s ""TAA"") (str.endsWith s ""TAG"") (str.endsWith s ""TGA"")))"
Email,True,The email shall not contain a space character.,"(not (str.contains s "" ""))"
Email,True,The email shall not start with a @ character.,"(not (= (str.at s 0) ""@""))"
Email,True,The email shall have exactly one @ character.,"(= (str.count s ""@"")(1))"
Email,True,The email shall include a dot character (.) after the @ character but before the end.,"(and (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"") (str.len s)) "".""))"
Email,True,The final character of the email shall not be a dot character (.).,"(not (= (str.at s (str.len s - 1)) "".""))"
Email,True,"The email shall not contain the word ""manager"".","(not (str.contains s ""manager""))"
Email,False,The email shall contain a space character.,"(str.contains s "" "")"
Email,False,The email shall start with a @ character.,"(= (str.at s 0) ""@"")(not (str.contains s ""@""))"
Email,False,The email shall have either no @ characters or more than one @ character.,"(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))"
Email,False,If the email contains a @ character and there shall not include any dot characters (.) after the @ character and before the end.,"(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"")) ""."")))"
Email,False,The final character of the email shall be a dot character (.).,"(= (str.at s (- (str.len s) 1)) ""."")"
Email,False,"The email shall contain the word ""manager"".","(str.contains s ""manager"")"
Expression,True,"The arithmetic expression shall only contain numbers (0-9) and arithmetic operators (+, -, *, /).",(forall ((c Char)) (=> (not (or (and (>= c #\0) (<= c #\9)) (or (= c #\+) (= c #\-) (= c #\*) (= c #\/)))) (not (str.contains s (str.mk_char c)))))
Expression,True,"The arithmetic operators (+, -, *, /) in the arithmetic expression shall not appear consecutively.","(not (or (str.contains s ""++"") (str.contains s ""--"") (str.contains s ""**"") (str.contains s ""//"")))"
Expression,True,"Except for the minus sign (-), every operator (+, *, /) in the arithmetic expression shall have a number before and after it.",(forall ((op Char)) (=> (or (= op #\+) (= op #\*) (= op #\/)) (and (exists ((n1 Int)) (exists ((n2 Int)) (and (str.contains s (str.mk_char op)) (not (or (not (str.contains s (str.mk_char n1))) (not (str.contains s (str.mk_char n2)))))))))))
Expression,True,"The arithmetic expression shall not start with operators from the set {+, *, /}.","(not (or (str.startsWith s ""+"") (str.startsWith s ""*"") (str.startsWith s ""/"")))"
Expression,False,"The arithmetic expression shall contain at least one character that is neither a number (0-9), nor an arithmetic operator (+, -, *, /).",(exists ((c Char)) (and (not (or (and (>= c (char 48)) (<= c (char 57))) (or (= c (char 43)) (= c (char 45)) (= c (char 42)) (= c (char 47)))))))
Expression,False,"The arithmetic expression shall contain consecutive arithmetic operators (+, -, *, /).",(exists ((i Int)) (and (>= i 0) (< i (- (str.len s) 1)) (or (and (= (str.at s i) (char 43)) (= (str.at s (+ i 1)) (char 43))) (and (= (str.at s i) (char 45)) (= (str.at s (+ i 1)) (char 45))) (and (= (str.at s i) (char 42)) (= (str.at s (+ i 1)) (char 42))) (and (= (str.at s i) (char 47)) (= (str.at s (+ i 1)) (char 47))))))
Expression,False,"The arithmetic expression shall contain an operator from the set {+, *, /} that either does not have a number immediately before it or does not have a number immediately after it.",(exists ((i Int)) (and (>= i 0) (< i (str.len s)) (or (and (or (= (str.at s i) (char 43)) (= (str.at s i) (char 42)) (= (str.at s i) (char 47))) (not (and (>= (str.at s (- i 1)) (char 48)) (<= (str.at s (- i 1)) (char 57))))) (and (or (= (str.at s i) (char 43)) (= (str.at s i) (char 42)) (= (str.at s i) (char 47))) (not (and (>= (str.at s (+ i 1)) (char 48)) (<= (str.at s (+ i 1)) (char 57))))))))
Expression,False,"The arithmetic expression shall start with one of the operators in the set {+, *, /}.",(or (= (str.at s 0) (char 43)) (= (str.at s 0) (char 42)) (= (str.at s 0) (char 47)))
IBAN,True,The length of the bank number shall be 22.,(= (str.len s) 22)
IBAN,True,The bank number shall start with 1210.,"(str.startsWith s ""1210"")"
IBAN,True,"The bank number shall have at least 6 characters, and the fifth and sixth characters shall both be 0.","(and (>= (str.len s) 6) (and (= (str.at s 4) ""0"") (= (str.at s 5) ""0"")))"
IBAN,False,The length of the bank account shall not be 22.,(not (= s 22))
IBAN,False,The bank number shall not start with 1210.,"(not (str.startsWith s ""1210""))"
IBAN,False,"The bank number shall either have less than 6 characters, or either the fifth or sixth character shall not be 0.
","(or (< (str.len s) 6) (or (not (= (str.at s 4) ""0"")) (not (= (str.at s 5) ""0""))))"
ISBN,True,"The ISBN shall only contain numbers (0-9), the letter X, or hyphens.","(forall ((c Char)) (=> (str.contains s (str.to.re (str.++ (str.from.int 0) (str.from.int 1) (str.from.int 2) (str.from.int 3) (str.from.int 4) (str.from.int 5) (str.from.int 6) (str.from.int 7) (str.from.int 8) (str.from.int 9) ""X"" ""-""))) (or (and (not (str.contains s ""-"")) (not (str.contains s ""X"")))))"
ISBN,True,The last character of the ISBN shall either be a number (0-9) or the letter X.,"(or (and (= (str.at s (- (str.len s) 1)) ""X"") (str.contains s (str.to.re (str.++ (str.from.int 0) (str.from.int 1) (str.from.int 2) (str.from.int 3) (str.from.int 4) (str.from.int 5) (str.from.int 6) (str.from.int 7) (str.from.int 8) (str.from.int 9)))))"
ISBN,True,"The ISBN shall contain exactly 10 characters, excluding hyphens.","(= (str.len (str.replace s ""-"" """")) 10)"
ISBN,True,The ISBN shall not start with a hyphen.,"(not (= (str.at s 0) ""-""))"
ISBN,True,Hyphens shall not occur consecutively in the ISBN.,"(not (str.contains s ""--""))"
ISBN,True,The ISBN shall contain at most 3 hyphens.,"(<= (str.count s ""-"") 3)"
ISBN,False,"The ISBN shall contain at least one character that is neither a number (0-9), nor the letter X, nor a hyphen.","(exists ((c String)) (and (not (str.in.re c (re.++ (re.range ""0"" ""9"") (re.range ""X"")))) (str.contains s c)))"
ISBN,False,"The last character of the ISBN shall be neither a number (0-9), nor the letter X.","(not (str.in.re (str.at s (- (str.len s) 1)) (re.++ (re.range ""0"" ""9"") (re.range ""X""))))"
ISBN,False,"Without counting hyphens, the ISBN shall contain less than or more than 10 characters.","(or (< (str.len (str.replace s ""-"" """")) 10) (> (str.len (str.replace s ""-"" """")) 10))"
ISBN,False,The ISBN shall start with a hyphen.,"(= (str.at s 0) ""-"")"
ISBN,False,The ISBN shall contain two consecutive hyphens.,"(str.contains s ""--"")"
ISBN,False,The ISBN shall contain more than 3 hyphens.,"(> (str.count s ""-"") 3)"
Name,True,"The name shall only contain letters a-z, letters A-Z and space characters.","(forall ((i Int)) (=> (and (>= i 0) (< i (str.len s))) (or (and (>= (str.at s i) ""a"") (<= (str.at s i) ""z"")) (and (>= (str.at s i) ""A"") (<= (str.at s i) ""Z"")) (str.eq (str.at s i) "" ""))))"
Name,True,The name shall contain at least one space character.,"(exists ((i Int)) (and (>= i 0) (< i (str.len s)) (str.eq (str.at s i) "" ""))) "
Name,True,The name shall not end with a space character.,"(not (str.eq (str.at s (- (str.len s) 1)) "" ""))"
Name,True,The name shall not start with a space character.,"(not (str.eq (str.at s 0) "" ""))"
Name,True,The first character in the name shall be capitalized.,(= (str.at s 0) (str.to.upper (str.at s 0)))
Name,True,Any character in the name following a space character shall be capitalized.,"(forall ((i Int)) (=> (and (>= i 1) (< i (str.len s)) (str.eq (str.at s (- i 1)) "" "")) (str.eq (str.at s i) (str.to.upper (str.at s i)))))"
Name,False,"The name shall contain at least one character that is neither a letter a-z, nor a letter A-Z, nor a space.",
Name,False,The name shall contain no space character.,
Name,False,The name shall end with a space character.,
Name,False,The name shall start with a space character.,
Name,False,The first character in the name shall not be capitalized.,
Name,False,"In the name, there shall be some characters following a space character which are not capitalized.",
Palindrome,True,The palindrome shall be at least 3 characters long.,(>= (str.len s) 3)
Palindrome,True,The palindrome shall be identical to its reverse.,(= s (str.reverse s))
Palindrome,False,The palindrome shall be at most 2 characters long.,(<= (str.len s) 2)
Palindrome,False,The palindrome shall not be identical to its reverse.,(not (= s (str.reverse s)))
Parentheses,True,The parentheses string shall be at least 10 characters long.,(>= (str.len s) 10)
Parentheses,True,The parentheses string shall only contains ( and ) characters.,"(and (forall ((i Int)) (=> (and (>= i 0) (< i (str.len s))) (or (= (str.at s i) ""("") (= (str.at s i) "")"")))))"
Parentheses,True,The parenthesis string shall contain an equal number of ( characters and ) characters.,"(= (str.count s ""("") (str.count s "")""))"
Parentheses,True,"When scanning from left to right on the parentheses string, at no point shall the count of ) characters exceed the count of ( characters.","(forall ((i Int)) (=> (and (>= i 0) (< i (str.len s))) (>= (str.count (str.substr s 0 i) ""("") (str.count (str.substr s 0 i) "")""))))"
Parentheses,False,The parentheses string shall be at most 9 characters long.,(<= (str.len s) 9)
Parentheses,False,The parentheses string shall contain at least one character that is neither ( nor ).,"(exists ((i Int)) (and (>= i 0) (< i (str.len s)) (not (or (= (str.at s i) ""("") (= (str.at s i) "")"")))))"
Parentheses,False,The parenthesis string shall not contain an equal number of ( characters and ) characters.,"(not (= (str.count s ""("") (str.count s "")"")))"
Parentheses,False,"There shall exist at least one position in a parentheses string such that, when scanning from left to right up to that position, the count of ) characters exceeds the count of ( characters.","(exists ((i Int)) (and (>= i 0) (< i (str.len s)) (> (str.count (str.substr s 0 i) "")"") (str.count (str.substr s 0 i) ""(""))))"
Password,True,The password shall be at least 4 characters long.,(>= (str.len s) 4)
Password,True,"The password shall contain one of the following characters: !, #, $.","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))"
Password,True,The password shall contain at least one upper case characters.,(exists ((c String)) (and (str.contains s c) (isUpper c)))
Password,True,The password shall contain at least one lower case characters.,(exists ((c String)) (and (str.contains s c) (isLower c)))
Password,True,The password shall contain at least one number.,(exists ((d String)) (and (str.contains s d) (isDigit d)))
Password,False,The password shall contain less than 4 characters.,
Password,False,"The password shall not contain any of the following characters: !, #, $.",
Password,False,The password shall not contain any upper case characters.,
Password,False,The password shall not contain any lower case characters.,
Password,False,The password shall not contain any numbers.,
Url,True,The url shall start with either http:// or https://.,"(or (str.startsWith s ""http://"") (str.startsWith s ""https://""))"
Url,True,The url shall not contain any spaces.,"(not (str.contains s "" ""))"
Url,True,The url shall contain at least one dot character (.).,"(str.contains s ""."")"
Url,False,"The url shall not start with http://, nor with https://.",
Url,False,The url shall contain at least one space.,
Url,False,The url shall not contain any dot character (.).,
