name,mask,nl_constraint,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9
Email,True,The email shall have exactly one @ character.,"(= (str.count s ""@"")(1))","(= (str.count s ""@"")(1))","(= (str.count s ""@"")(1))","(= (str.count s ""@"")(1))","(and (str.contains s ""@"")(not (str.contains (str.substr s 0 (str.indexof s ""@"")) ""@"")) (not (str.contains (str.substr s (+ (str.indexof s ""@"") 1)) ""@"")))","(= (str.count s ""@"")(1))","(and (str.contains s ""@"")(not (str.contains (str.substr s 0 (str.indexof s ""@"")) ""@"")) (not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""@"")))","(= (str.count s ""@""). 1)","(= (str.count s ""@"") 1)","(= (str.count s ""@"") 1)"
Email,True,"If the email contains a @ character, then the email shall include a dot character (.) after the @ character but before the end.","(=> (str.contains s ""@"")(exists (i) (and (>= i (str.indexof s ""@"")) (< i (str.length s)) (str.contains (str.substr s (+ i 1) (- (str.length s) (+ i 1))) ""."")))) )","(=> (str.contains s ""@"")(exists ((i Int)) (and (>= i 0) (< i (str.len s)) (str.contains (str.substr s (+ i 1) (- (str.len s) (+ i 1))) "".""))))))","(=> (str.contains s ""@"")(exists ((i Int)) (and (>= i (+ (str.indexof s ""@"" 0) 1)) (< i (str.length s)) (str.contains (str.substr s i (- (str.length s) i)) "".""))))","(=> (str.contains s ""@"")(exists ((x String)) (and (str.contains s ""."") (>= (str.indexof s ""."") (+ (str.indexof s ""@"")(1)))))))","(=> (str.contains s ""@"")(exists ((i Int))(and (= i (str.indexof s ""@""))(str.contains (str.substr s (+ i 1)) "".""))))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"")(str.len s)) "".""))","(=> (str.contains s ""@"") (exists ((i Int)) (and (>= i (+ (str.indexof s ""@"") 1)) (< i (str.length s)) (str.contains (str.substr s i (str.length s)) "".""))))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.length s) (+ (str.indexof s ""@"") 1))) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) "".""))"
Email,False,The email shall contain a space character.,"(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")"
Email,False,The email shall start with a @ character.,"(= (str.at s 0) ""@"")[","(= (str.at s 0) ""@"")[","(= (str.at s 0) ""@"")[","(= (str.at s 0) ""@"")[","(= (str.at s 0) ""@"")[","(= (str.at s 0) ""@"")[","(= (str.at s 0) ""@"")[","(= (str.at s 0) ""@"")[","(= (str.at s 0) ""@"")[","(= (str.at s 0) ""@"")["
Email,False,The email shall have either no @ characters or more than one @ character.,"(or (not (str.contains s ""@"")) (> (str.count (str.to.re s) ""@"") 1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(or (= (str.count s ""@"")(0)) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(or (not (str.contains s ""@"")) (str.in.re s (re.+ (str.to.re ""@""))))"
Email,False,"If the email contains a @ character, then the email shall not include any dot characters (.) after the @ character and before the end.","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.slice s (+ (str.indexof s ""@"")(1)) (str.len s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"")(str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"")) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"")(str.indexof s ""@"")) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"" 0) (str.indexof s ""."" (str.indexof s ""@"" 0)) ) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) ""."")))","(=> (str.contains s ""@"") (not (str.contains (str.substr s (str.indexof s ""@"") (str.len s)) ""."")))"
Password,True,The password shall be at least 4 characters long.,(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4)
Password,True,"The password shall contain one of the following characters: !, #, $.","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))"
Password,True,The password shall contain at least one upper case characters.,"(exists ((c String)) (and (str.contains s c) (str.in.re c (str.to.re ""[A-Z]""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (str.to.re ""[A-Z]""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range (str.to.re ""A"") (str.to.re ""Z"")))))",(exists ((c String)) (and (str.contains s c) (forall ((i Int)) (=> (and (>= i 0) (< i (str.len c))) (isUpper (str.at c i)))))),"(exists ((c String)) (and (str.contains s c) (str.in.re c (re.+ (str.to.re ""[A-Z]"")))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.+ (str.to.re ""[A-Z]"")))))","(str.contains s (str.to.re ""[A-Z]""))",(exists ((c String)) (and (str.contains s c) (>= (str.to.utf8 c) 65) (<= (str.to.utf8 c) 90))),"(exists ((c String)) (and (str.contains s c) (or (and (>= (str.to.int c) (str.to.int ""A"")) (<= (str.to.int c) (str.to.int ""Z""))))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.+ (str.to.re ""[A-Z]"")))))"
Password,True,The password shall contain at least one lower case characters.,"(exists ((c String)) (and (str.contains s c) (str.in.re c (str.to.re ""[a-z]""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (str.to.re ""[a-z]""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range (str.to.re ""a"") (str.to.re ""z"")))))",(exists ((c String)) (and (str.contains s c) (forall ((i Int)) (=> (and (>= i 0) (< i (str.len c))) (isLower (str.at c i))))),"(exists ((c String)) (and (str.contains s c) (str.in.re c (re.+ (str.to.re ""[a-z]"")))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.+ (str.to.re ""[a-z]"")))))","(str.contains s (str.to.re ""[a-z]""))",(exists ((c String)) (and (str.contains s c) (>= (str.to.utf8 c) 97) (<= (str.to.utf8 c) 122))),"(exists ((c String)) (and (str.contains s c) (or (and (>= (str.to.int c) (str.to.int ""a"")) (<= (str.to.int c) (str.to.int ""z"")))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.+ (str.to.re ""[a-z]"")))))"
Password,False,The password shall contain less than 4 characters.,(< (str.len s) 4),(< (str.len s) 4),(< (str.len s) 4),(< (str.len s) 4),(< (str.len s) 4),(< (str.len s) 4),(< (str.len s) 4),(< (str.len s) 4),(< (str.len s) 4),(< (str.len s) 4)
Password,False,"The password shall not contain any of the following characters: !, #, $.","(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))","(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))","(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))","(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))","(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))","(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))","(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))","(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))","(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))","(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))"
Password,False,The password shall not contain any upper case characters.,"(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""A"") (not (or (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z""))))))))"
Password,False,The password shall not contain any lower case characters.,"(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))","(forall ((c String)) (=> (str.contains s c) (not (or (and (= c ""a"") (not (or (= c ""b"") (= c ""c"") (= c ""d"") (= c ""e"") (= c ""f"") (= c ""g"") (= c ""h"") (= c ""i"") (= c ""j"") (= c ""k"") (= c ""l"") (= c ""m"") (= c ""n"") (= c ""o"") (= c ""p"") (= c ""q"") (= c ""r"") (= c ""s"") (= c ""t"") (= c ""u"") (= c ""v"") (= c ""w"") (= c ""x"") (= c ""y"") (= c ""z""))))))))"
Date,True,The date shall contain two hyphens.,"(and (not (= (str.indexof s ""-"") -1)) (not (= (str.indexof s ""-"" (str.indexof s ""-"") + 1) -1)))","(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)"
Date,True,The date shall have a number between 0 and 2025 before the first hyphen.,"(let ((year (str.substr s 0 (str.indexof s ""-"")))) (and (>= (str.to.int year) 0) (<= (str.to.int year) 2025)))","(let ((first-hyphen (str.indexof s ""-""))) (and (>= (str.to.int (str.substr s 0 first-hyphen)) 0) (<= (str.to.int (str.substr s 0 first-hyphen)) 2025)))","(let ((before-hyphen (str.substr s 0 (str.indexof s ""-"")))) (and (>= (str.to.int before-hyphen) 0) (<= (str.to.int before-hyphen) 2025)))","(let ((pos (str.indexof s ""-""))) (and (>= (str.to.int (str.substr s 0 pos)) 0) (<= (str.to.int (str.substr s 0 pos)) 2025)))","(let ((before-hyphen (str.substr s 0 (str.indexof s ""-"")))) (and (>= (str.to.int before-hyphen) 0) (<= (str.to.int before-hyphen) 2025)))","(let ((pos (str.indexof s ""-""))) (and (not (= pos -1)) (<= (str.to.int (str.substr s 0 pos)) 2025) (>= (str.to.int (str.substr s 0 pos)) 0)))","(let ((num_before_hyphen (str.to.int (str.substring s 0 (str.indexof s ""-""))))) (and (>= num_before_hyphen 0) (<= num_before_hyphen 2025)))","(let ((pos (str.indexof s ""-""))) (and (>= (str.to.int (str.substr s 0 pos)) 0) (<= (str.to.int (str.substr s 0 pos)) 2025)))","(let ((prefix (str.substr s 0 (str.indexof s ""-"")))) (and (>= (str.to.int prefix) 0) (<= (str.to.int prefix) 2025)))","(let ((num (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (>= num 0) (<= num 2025)))"
