name,mask,nl_constraint,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19
Email,True,The email shall have exactly one @ character.,"(= (str.count s ""@"")(1))","(= (str.count s ""@"")(1))","(= (str.count s ""@"")(1))","(= (str.count s ""@"")== 1)","(= (str.count s ""@"")(1))","(= (str.indexof s ""@"") (str.indexof s ""@""))","(= (str.count s ""@"")(1))","(= (str.count s ""@"")(1))","(= (str.count s ""@"")(1))","(= (str.count s ""@"")(1))","(= (str.count s ""@"")(1))","(= (str.count s ""@"") 1)","(= (str.count s ""@"")(1))","(= (str.count s ""@"")== 1)","(= (str.indexof s ""@"") (str.indexof (str.substr s (str.indexof s ""@"") (str.length s)) ""@""))","(= (str.count s ""@"") 1)","(= (str.count s ""@"")(1))","(= (str.count s ""@"") 1)","(= (str.count s ""@"")(1))","(= (str.count s ""@"")(1))"
Email,True,"If the email contains a @ character, then the email shall include a dot character (.) after the @ character but before the end.","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.length s) (+ (str.indexof s ""@"") 1))) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) "".""))","(=> (str.contains s ""@"")(exists ((i Int)) (and (> i (str.indexof s ""@"")) (str.contains (str.substr s i (str.length s)) "".""))))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"") (str.length s)) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.length s) (+ (str.indexof s ""@"") 1))) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.len s)) "".""))","(=> (str.contains s ""@"")(exists ((i Int)) (and (>= i 1) (< i (str.len s)) (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.len s)) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"") (str.length s)) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"")(1)) (- (str.length s) (+ (str.indexof s ""@"")(1))) ""."")))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"") (str.length s)) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) "".""))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) "".""))","(=> (str.contains s ""@"")(exists ((x String)) (and (str.contains (str.substr s (+ (str.indexof s ""@"") 1)) ""."") (>= (str.length (str.substr s (+ (str.indexof s ""@"") 1))) 1))))","(=> (str.contains s ""@"")(exists ((x String)) (and (str.contains (str.substr s (str.indexof s ""@"")(str.length s)) ""."") (> (str.indexof s ""."") (str.indexof s ""@"")))))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"")(1)) (str.length s)) "".""))"
Email,False,The email shall contain a space character.,"(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")"
Email,False,The email shall start with a @ character.,"(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")(not (str.contains s ""@""))","(= (str.at s 0) ""@"")[0]","(= (str.at s 0) ""@"")","(= (str.at s 0) ""@"")"
Email,False,The email shall have either no @ characters or more than one @ character.,"(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")
    1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@""). 1))","(or (not (str.contains s ""@"")) (> (str.count (str.to.re s) ""@"")
        1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")
        1))","(or (not (str.contains s ""@"")) (> (str.count (str.to.re s) (str.to.re ""@"")) 1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))","(or (not (str.contains s ""@"")) (> (str.count s ""@"")(1)))"
Email,False,"If the email contains a @ character, then the email shall not include any dot characters (.) after the @ character and before the end.","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""."")))","(=> (str.contains s ""@"") (not (str.contains (str.substr s (str.indexof s ""@"") (str.length s)) ""."")))","(=> (str.contains s ""@"")
    (not (str.contains (str.substr s (+ (str.indexof s ""@"")
    1) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"") (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"") (str.len s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"") (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@""). 1) (str.length s)) ""."")))","(implies (str.contains s ""@"")
        (not (str.contains (str.substr s (+ (str.indexof s ""@"")
        1) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) ""."")))","(=> (str.contains s ""@"") (not (str.contains (str.substr s (str.indexof s ""@"")
        (str.len s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"")(str.len s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"")(1)) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"")(1)) (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"") (str.length s)) ""."")))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""."")))","(implies (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"")(str.length s)) ""."")))"
Password,True,The password shall be at least 4 characters long.,(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4),(>= (str.len s) 4)
Password,True,"The password shall contain one of the following characters: !, #, $.","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))"
Password,True,The password shall contain at least one upper case characters.,(exists ((c String)) (and (str.contains s c) (is.upper c))),(exists ((c String)) (and (str.contains s c) (isUpper c))),(exists ((c String)) (and (str.contains s c) (isUpper c))),(exists ((c String)) (and (str.contains s c) (not (str.is_lower c)))),(exists ((c String)) (and (str.contains s c) (is.upper c))),"(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))"
Password,True,The password shall contain at least one lower case characters.,(exists ((c String)) (and (str.contains s c) (is.lower c))),(exists ((c String)) (and (str.contains s c) (isLower c))),(exists ((d String)) (and (str.contains s d) (isLower d))),(exists ((c String)) (and (str.contains s c) (not (str.is_upper c)))),(exists ((c String)) (and (str.contains s c) (is.lower c))),"(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))"
Password,False,The password shall contain less than 4 characters.,,,,,,,,,,,,,,,,,,,,
Password,False,"The password shall not contain any of the following characters: !, #, $.",,,,,,,,,,,,,,,,,,,,
Password,False,The password shall not contain any upper case characters.,,,,,,,,,,,,,,,,,,,,
Password,False,The password shall not contain any lower case characters.,,,,,,,,,,,,,,,,,,,,
Date,True,The date shall contain two hyphens.,"(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)","(and (not (= (str.indexof s ""-"") -1)) (not (= (str.indexof s ""-"" (str.indexof s ""-"" + 1)) -1)))","(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)","(= (str.count s ""-"") 2)",,"(= (str.count s ""-"") 2)",,"(= (str.count s ""-"") 2)",,"(= (str.count s ""-"") 2)",
Date,True,The date shall have a number between 0 and 2025 before the first hyphen.,"(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (>= s 0) (<= s 2025)))","(let ((year (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (<= year 2025) (>= year 0)))","(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (<= s 2025) (>= s 0)))","(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (<= s 2025) (>= s 0)))","(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (<= s 2025) (>= s 0)))","(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (>= s 0) (<= s 2025)))","(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (>= s 0) (<= s 2025)))","(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-"")))) ) (and (>= s 0) (<= s 2025)))",(and (<= s 2025) (>= s 0)),"(let ((year (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (>= year 0) (<= year 2025)))","(let ((s (string.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (<= s 2025) (>= s 0)))","(let ((year (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (<= year 2025) (>= year 0)))","(and (<= s 2025) (>= s 0) (str.prefix s (str.++ (str.from_int s) ""-"")))",,(and (>= s 0) (<= s 2025)),,(and (<= s 2025) (>= s 0)),,"(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (<= 0 s) (<= s 2025)))",
